ts,gpu_util,gpu_mem_used
1771749999.3335896,100.0,23260.25
1771749999.4344392,100.0,23260.25
1771749999.535277,100.0,23260.25
1771749999.6360795,100.0,23260.25
1771749999.7369134,100.0,23260.25
1771749999.8377497,100.0,23260.25
1771749999.9385877,100.0,23260.25
1771750000.0394182,100.0,23260.25
1771750000.1402438,100.0,23260.25
1771750000.2410936,100.0,23260.25
1771750000.3419569,100.0,23260.25
1771750000.4428089,100.0,23260.25
1771750000.5786078,100.0,23260.25
1771750000.6794603,100.0,23260.25
1771750000.7803323,100.0,23260.25
1771750000.8811967,100.0,23260.25
1771750000.9820693,100.0,23260.25
1771750001.0831296,100.0,23260.25
1771750001.1839907,100.0,23260.25
1771750001.2848573,100.0,23260.25
1771750001.3857243,100.0,23260.25
1771750001.4865847,100.0,23260.25
1771750001.5873792,100.0,23260.25
1771750001.6881447,100.0,23260.25
1771750001.7892447,100.0,23260.25
1771750001.8905263,100.0,23260.25
1771750001.9916425,100.0,23260.25
1771750002.0926497,48.0,23260.25
1771750002.1933954,48.0,23260.25
1771750002.2941322,20.0,23260.25
1771750002.394876,20.0,23260.25
1771750002.4957263,0.0,23260.25
1771750002.5965798,0.0,23260.25
1771750002.6974306,0.0,23260.25
1771750002.8046074,0.0,23260.25
1771750002.9053936,0.0,23260.25
1771750003.0061681,0.0,23260.25
1771750003.1069722,0.0,23260.25
1771750003.2077327,0.0,23260.25
1771750003.3087938,28.0,23260.25
1771750003.4100852,28.0,23260.25
1771750003.511237,0.0,23260.25
1771750003.612357,0.0,23260.25
1771750003.7135878,92.0,23260.25
1771750003.814362,92.0,23260.25
1771750003.9152007,100.0,23260.25
1771750004.016065,100.0,23260.25
1771750004.1168666,100.0,23260.25
1771750004.2177122,100.0,23260.25
1771750004.318579,100.0,23260.25
1771750004.4194746,100.0,23260.25
1771750004.5204682,100.0,23260.25
1771750004.6212966,100.0,23260.25
1771750004.7225008,100.0,23260.25
1771750004.8233876,100.0,23260.25
1771750004.9242494,21.0,23260.25
1771750005.0254755,21.0,23260.25
1771750005.1262438,0.0,23260.25
1771750005.227081,0.0,23260.25
1771750005.3283432,0.0,23260.25
1771750005.4295974,0.0,23260.25
1771750005.5307477,74.0,23260.25
1771750005.6355858,74.0,23260.25
1771750005.7363908,100.0,23260.25
1771750005.837256,100.0,23260.25
1771750005.9381146,100.0,23260.25
1771750006.0389435,100.0,23260.25
1771750006.1397877,100.0,23260.25
1771750006.2406409,100.0,23260.25
1771750006.3416572,100.0,23260.25
1771750006.4424832,100.0,23260.25
1771750006.5433223,100.0,23260.25
1771750006.6443655,100.0,23260.25
1771750006.7452328,100.0,23260.25
1771750006.8460739,100.0,23260.25
1771750006.9470925,100.0,23260.25
1771750007.0524516,100.0,23260.25
1771750007.1533568,100.0,23260.25
1771750007.254165,100.0,23260.25
1771750007.3553283,100.0,23260.25
1771750007.4737456,60.0,23260.25
1771750007.5745938,60.0,23260.25
1771750007.6755161,86.0,23260.25
1771750007.7763515,86.0,23260.25
1771750007.8771594,100.0,23260.25
1771750007.978047,100.0,23260.25
1771750008.0789177,100.0,23260.25
1771750008.1797898,100.0,23260.25
1771750008.2808716,100.0,23260.25
1771750008.3817103,100.0,23260.25
1771750008.482544,100.0,23260.25
1771750008.5834339,100.0,23260.25
1771750008.6843727,100.0,23260.25
1771750008.785304,100.0,23260.25
1771750008.8862343,100.0,23260.25
1771750008.9874275,100.0,23260.25
1771750009.0888216,100.0,23260.25
1771750009.190067,100.0,23260.25
1771750009.2909322,100.0,23260.25
1771750009.3917754,100.0,23260.25
1771750009.4926429,100.0,23260.25
1771750009.5935159,100.0,23260.25
1771750009.6943514,100.0,23260.25
1771750009.7952123,100.0,23260.25
1771750009.8960526,100.0,23260.25
1771750009.9969187,100.0,23260.25
1771750010.0977752,48.0,23260.25
1771750010.198642,48.0,23260.25
1771750010.2995076,94.0,23260.25
1771750010.4004393,94.0,23260.25
1771750010.5012505,100.0,23260.25
1771750010.6020863,100.0,23260.25
1771750010.702947,100.0,23260.25
1771750010.803757,100.0,23260.25
1771750010.9045942,100.0,23260.25
1771750011.0054214,100.0,23260.25
1771750011.1065254,100.0,23260.25
1771750011.2077837,100.0,23260.25
1771750011.3089154,100.0,23260.25
1771750011.4100244,100.0,23260.25
1771750011.511032,100.0,23260.25
1771750011.611775,100.0,23260.25
1771750011.7126315,100.0,23260.25
1771750011.8134387,100.0,23260.25
1771750011.9142883,48.0,23260.25
1771750012.0153499,48.0,23260.25
1771750012.116144,49.0,23260.25
1771750012.2169893,49.0,23260.25
1771750012.3178387,100.0,23260.25
1771750012.4187107,100.0,23260.25
1771750012.519758,100.0,23260.25
1771750012.620639,100.0,23260.25
1771750012.721493,100.0,23260.25
1771750012.8223758,100.0,23260.25
1771750012.9232266,100.0,23260.25
1771750013.024083,100.0,23260.25
1771750013.1251094,100.0,23260.25
1771750013.2264519,100.0,23260.25
1771750013.3278706,100.0,23260.25
1771750013.4290123,100.0,23260.25
1771750013.5399263,71.0,23260.25
1771750013.6407688,71.0,23260.25
1771750013.7418108,0.0,23260.25
1771750013.8426936,0.0,23260.25
1771750013.9435604,0.0,23260.25
1771750014.0444217,0.0,23260.25
1771750014.1456633,78.0,23260.25
1771750014.250241,100.0,23260.25
1771750014.351192,100.0,23260.25
1771750014.4519494,100.0,23260.25
1771750014.5528326,100.0,23260.25
1771750014.6540442,100.0,23260.25
1771750014.754913,100.0,23260.25
1771750014.8557408,100.0,23260.25
1771750014.9565914,100.0,23260.25
1771750015.05775,100.0,23260.25
