ts,gpu_util,gpu_mem_used
1771723907.3625982,100.0,23260.25
1771723907.4634657,100.0,23260.25
1771723907.564336,100.0,23260.25
1771723907.6654685,100.0,23260.25
1771723907.7670355,100.0,23260.25
1771723907.8704019,100.0,23260.25
1771723907.9712405,100.0,23260.25
1771723908.0720203,2.0,23260.25
1771723908.1728594,2.0,23260.25
1771723908.273585,0.0,23260.25
1771723908.3744326,0.0,23260.25
1771723908.4751608,0.0,23260.25
1771723908.5760362,0.0,23260.25
1771723908.676798,0.0,23260.25
1771723908.7783241,0.0,23260.25
1771723908.8791685,100.0,23260.25
1771723908.9800165,100.0,23260.25
1771723909.080817,100.0,23260.25
1771723909.1816616,100.0,23260.25
1771723909.282499,100.0,23260.25
1771723909.383406,100.0,23260.25
1771723909.4842834,100.0,23260.25
1771723909.585449,100.0,23260.25
1771723909.6867733,100.0,23260.25
1771723909.7878833,100.0,23260.25
1771723909.8890018,100.0,23260.25
1771723909.9898577,100.0,23260.25
1771723910.0905802,100.0,23260.25
1771723910.1913717,100.0,23260.25
1771723910.2922127,100.0,23260.25
1771723910.3930502,100.0,23260.25
1771723910.4939072,100.0,23260.25
1771723910.5947669,100.0,23260.25
1771723910.6956315,62.0,23260.25
1771723910.7964833,62.0,23260.25
1771723910.8979948,18.0,23260.25
1771723910.9991915,18.0,23260.25
1771723911.100058,100.0,23260.25
1771723911.2009287,100.0,23260.25
1771723911.3018649,100.0,23260.25
1771723911.4027314,100.0,23260.25
1771723911.5035715,100.0,23260.25
1771723911.6047354,100.0,23260.25
1771723911.7060032,100.0,23260.25
1771723911.8072562,100.0,23260.25
1771723911.9084089,100.0,23260.25
1771723912.0100698,100.0,23260.25
1771723912.1109447,100.0,23260.25
1771723912.2117147,100.0,23260.25
1771723912.312462,97.0,23260.25
1771723912.4133162,97.0,23260.25
1771723912.5141964,46.0,23260.25
1771723912.6150563,46.0,23260.25
1771723912.7159677,100.0,23260.25
1771723912.81674,100.0,23260.25
1771723912.9174883,100.0,23260.25
1771723913.01832,100.0,23260.25
1771723913.1191788,100.0,23260.25
1771723913.220145,100.0,23260.25
1771723913.321055,100.0,23260.25
1771723913.4219162,100.0,23260.25
1771723913.5227726,100.0,23260.25
1771723913.6243727,100.0,23260.25
1771723913.7256382,100.0,23260.25
1771723913.826898,100.0,23260.25
1771723913.9281619,99.0,23260.25
1771723914.0291777,99.0,23260.25
1771723914.130043,12.0,23260.25
1771723914.2308383,12.0,23260.25
1771723914.3315737,88.0,23260.25
1771723914.432339,88.0,23260.25
1771723914.5331314,50.0,23260.25
1771723914.633916,50.0,23260.25
1771723914.7346709,100.0,23260.25
1771723914.8354607,100.0,23260.25
1771723914.9362402,100.0,23260.25
